username,Active Directory,AWS IAM,Okta,ad_effective_privilege,ad_direct_privilege,ad_inherited_privilege,aws_effective_privilege,aws_direct_privilege,aws_inherited_privilege,okta_effective_privilege,okta_direct_privilege,okta_inherited_privilege
david.wilson,User,User,User,GG-Dev-Staff,"GG-Dev-Staff, GG-Git-Users, GG-VPN-Access",GG-Dev-Staff,arn:aws:iam::aws:policy/AmazonEC2ReadOnlyAccess,"arn:aws:iam::aws:policy/AmazonEC2ReadOnlyAccess, arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess, arn:aws:iam::aws:policy/CloudWatchLogsReadOnlyAccess",None,GitHub Enterprise,"GitHub Enterprise, AWS SSO, Jira, Slack, Confluence",None
peter.garrett,User,User,User,GG-Finance-Staff,"GG-Finance-Staff, GG-SAP-Users, GG-ReadOnly-FS",GG-Finance-Staff,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,"arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess, arn:aws:iam::aws:policy/AWSBillingReadOnlyAccess",None,Workday,"SAP S4HANA, Workday, Slack, Concur",None
mark.lloyd,User,User,User,GG-HR-Staff,"GG-HR-Staff, GG-HRIS-Access",GG-HR-Staff,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,None,Workday,"Workday, Slack, ServiceNow, BambooHR",None
bruce.collier,User,User,User,GG-Dev-Staff,"GG-Dev-Staff, GG-Git-Users, GG-VPN-Access",GG-Dev-Staff,arn:aws:iam::aws:policy/AmazonEC2ReadOnlyAccess,"arn:aws:iam::aws:policy/AmazonEC2ReadOnlyAccess, arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess, arn:aws:iam::aws:policy/CloudWatchLogsReadOnlyAccess",None,GitHub Enterprise,"GitHub Enterprise, AWS SSO, Jira, Slack, Confluence",None
juan.reyes,User,User,User,GG-Dev-Staff,"GG-Dev-Staff, GG-Git-Users, GG-VPN-Access",GG-Dev-Staff,arn:aws:iam::aws:policy/AmazonEC2ReadOnlyAccess,"arn:aws:iam::aws:policy/AmazonEC2ReadOnlyAccess, arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess, arn:aws:iam::aws:policy/CloudWatchLogsReadOnlyAccess",None,GitHub Enterprise,"GitHub Enterprise, AWS SSO, Jira, Slack, Confluence",None
diane.evans,User,User,User,GG-Finance-Staff,"GG-Finance-Staff, GG-SAP-Users, GG-ReadOnly-FS",GG-Finance-Staff,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,"arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess, arn:aws:iam::aws:policy/AWSBillingReadOnlyAccess",None,Workday,"SAP S4HANA, Workday, Slack, Concur",None
frank.lopez,User,User,User,GG-Dev-Staff,"GG-Dev-Staff, GG-Git-Users, GG-VPN-Access",GG-Dev-Staff,arn:aws:iam::aws:policy/AmazonEC2ReadOnlyAccess,"arn:aws:iam::aws:policy/AmazonEC2ReadOnlyAccess, arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess, arn:aws:iam::aws:policy/CloudWatchLogsReadOnlyAccess",None,GitHub Enterprise,"GitHub Enterprise, AWS SSO, Jira, Slack, Confluence",None
matthew.hoover,User,User,User,GG-Sales-Staff,"GG-Sales-Staff, GG-CRM-Access",GG-Sales-Staff,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,None,Salesforce,"Salesforce, Slack, Zoom, HubSpot",None
thomas.smith,User,User,User,GG-Finance-Staff,"GG-Finance-Staff, GG-SAP-Users, GG-ReadOnly-FS",GG-Finance-Staff,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,"arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess, arn:aws:iam::aws:policy/AWSBillingReadOnlyAccess",None,Workday,"SAP S4HANA, Workday, Slack, Concur",None
jennifer.miller,User,User,User,GG-Dev-Staff,"GG-Dev-Staff, GG-Git-Users, GG-VPN-Access",GG-Dev-Staff,arn:aws:iam::aws:policy/AmazonEC2ReadOnlyAccess,"arn:aws:iam::aws:policy/AmazonEC2ReadOnlyAccess, arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess, arn:aws:iam::aws:policy/CloudWatchLogsReadOnlyAccess",None,GitHub Enterprise,"GitHub Enterprise, AWS SSO, Jira, Slack, Confluence",None
amanda.jones,User,User,User,GG-HR-Staff,"GG-HR-Staff, GG-HRIS-Access",GG-HR-Staff,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,None,Workday,"Workday, Slack, ServiceNow, BambooHR",None
michael.berger,User,User,User,GG-Sales-Staff,"GG-Sales-Staff, GG-CRM-Access",GG-Sales-Staff,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,None,Salesforce,"Salesforce, Slack, Zoom, HubSpot",None
michael.white,User,User,User,GG-Finance-Staff,"GG-Finance-Staff, GG-SAP-Users, GG-ReadOnly-FS",GG-Finance-Staff,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,"arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess, arn:aws:iam::aws:policy/AWSBillingReadOnlyAccess",None,Workday,"SAP S4HANA, Workday, Slack, Concur",None
david.scott,User,User,User,GG-Domain-Admins (Inherited),"GG-IT-Staff, GG-Infra-Ops, GG-ServiceDesk","GG-Infra-Ops, GG-Domain-Admins",arn:aws:iam::aws:policy/AmazonEC2ReadOnlyAccess,"arn:aws:iam::aws:policy/AmazonEC2ReadOnlyAccess, arn:aws:iam::aws:policy/CloudWatchLogsReadOnlyAccess",None,CyberArk,"AWS SSO, GitHub Enterprise, ServiceNow, Slack, CyberArk",None
victoria.evans,Power User,User,User,GG-HR-Staff,"GG-HR-Staff, GG-HRIS-Access",GG-HR-Staff,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,None,Workday,"Workday, Slack, ServiceNow, BambooHR",None
james.howard,Admin,Admin,Admin,GG-Domain-Admins,"GG-IT-Staff, GG-Infra-Ops, GG-ServiceDesk, GG-Domain-Admins","GG-Infra-Ops, GG-Domain-Admins",arn:aws:iam::aws:policy/AdministratorAccess,arn:aws:iam::aws:policy/AdministratorAccess,None,Okta Admin Console,"AWS SSO, GitHub Enterprise, ServiceNow, Slack, CyberArk, Okta Admin Console",None
natasha.wall,Admin,Admin,User,GG-Domain-Admins,"GG-HR-Staff, GG-HRIS-Access, GG-Domain-Admins",GG-HR-Staff,arn:aws:iam::aws:policy/AdministratorAccess,arn:aws:iam::aws:policy/AdministratorAccess,None,Workday,"Workday, Slack, ServiceNow, BambooHR",None
michelle.hopkins,User,User,User,GG-Finance-Staff,"GG-Finance-Staff, GG-SAP-Users, GG-ReadOnly-FS",GG-Finance-Staff,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,"arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess, arn:aws:iam::aws:policy/AWSBillingReadOnlyAccess",None,Workday,"SAP S4HANA, Workday, Slack, Concur",None
ann.phillips,Admin,Admin,User,GG-Domain-Admins,"GG-HR-Staff, GG-HRIS-Access, GG-Domain-Admins",GG-HR-Staff,arn:aws:iam::aws:policy/AdministratorAccess,arn:aws:iam::aws:policy/AdministratorAccess,None,Workday,"Workday, Slack, ServiceNow, BambooHR",None
dawn.summers,User,User,User,GG-Legal-Staff,"GG-Legal-Staff, GG-DLP-Policy",GG-Legal-Staff,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,None,Slack,"SharePoint, Slack, DocuSign, Relativity",None
vincent.dalton,User,User,User,GG-Sales-Staff,"GG-Sales-Staff, GG-CRM-Access",GG-Sales-Staff,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,None,Salesforce,"Salesforce, Slack, Zoom, HubSpot",None
jacob.curry,User,User,User,GG-Finance-Staff,"GG-Finance-Staff, GG-SAP-Users, GG-ReadOnly-FS",GG-Finance-Staff,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,"arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess, arn:aws:iam::aws:policy/AWSBillingReadOnlyAccess",None,Workday,"SAP S4HANA, Workday, Slack, Concur",None
leonard.holland,User,User,User,GG-Dev-Staff,"GG-Dev-Staff, GG-Git-Users, GG-VPN-Access",GG-Dev-Staff,arn:aws:iam::aws:policy/AmazonEC2ReadOnlyAccess,"arn:aws:iam::aws:policy/AmazonEC2ReadOnlyAccess, arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess, arn:aws:iam::aws:policy/CloudWatchLogsReadOnlyAccess",None,GitHub Enterprise,"GitHub Enterprise, AWS SSO, Jira, Slack, Confluence",None
audrey.dds,User,User,User,GG-HR-Staff,"GG-HR-Staff, GG-HRIS-Access",GG-HR-Staff,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,None,Workday,"Workday, Slack, ServiceNow, BambooHR",None
mary.bass,Admin,Admin,Admin,GG-Domain-Admins,"GG-IT-Staff, GG-Infra-Ops, GG-ServiceDesk, GG-Domain-Admins","GG-Infra-Ops, GG-Domain-Admins",arn:aws:iam::aws:policy/AdministratorAccess,arn:aws:iam::aws:policy/AdministratorAccess,None,Okta Admin Console,"AWS SSO, GitHub Enterprise, ServiceNow, Slack, CyberArk, Okta Admin Console",None
david.cox,User,User,User,GG-Dev-Staff,"GG-Dev-Staff, GG-Git-Users, GG-VPN-Access",GG-Dev-Staff,arn:aws:iam::aws:policy/AmazonEC2ReadOnlyAccess,"arn:aws:iam::aws:policy/AmazonEC2ReadOnlyAccess, arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess, arn:aws:iam::aws:policy/CloudWatchLogsReadOnlyAccess",None,GitHub Enterprise,"GitHub Enterprise, AWS SSO, Jira, Slack, Confluence",None
daniel.fowler,User,User,User,GG-Legal-Staff,"GG-Legal-Staff, GG-DLP-Policy",GG-Legal-Staff,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,None,Slack,"SharePoint, Slack, DocuSign, Relativity",None
kristen.willis,User,User,User,GG-Legal-Staff,"GG-Legal-Staff, GG-DLP-Policy",GG-Legal-Staff,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,None,Slack,"SharePoint, Slack, DocuSign, Relativity",None
rebecca.rodriguez,User,User,User,GG-Dev-Staff,"GG-Dev-Staff, GG-Git-Users, GG-VPN-Access",GG-Dev-Staff,arn:aws:iam::aws:policy/AmazonEC2ReadOnlyAccess,"arn:aws:iam::aws:policy/AmazonEC2ReadOnlyAccess, arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess, arn:aws:iam::aws:policy/CloudWatchLogsReadOnlyAccess",None,GitHub Enterprise,"GitHub Enterprise, AWS SSO, Jira, Slack, Confluence",None
cameron.fisher,Admin,Admin,User,GG-Domain-Admins,"GG-HR-Staff, GG-HRIS-Access, GG-Domain-Admins",GG-HR-Staff,arn:aws:iam::aws:policy/AdministratorAccess,arn:aws:iam::aws:policy/AdministratorAccess,None,Workday,"Workday, Slack, ServiceNow, BambooHR",None
luis.acosta,Power User,User,User,GG-Finance-Staff,"GG-Finance-Staff, GG-SAP-Users, GG-ReadOnly-FS",GG-Finance-Staff,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,"arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess, arn:aws:iam::aws:policy/AWSBillingReadOnlyAccess",None,Workday,"SAP S4HANA, Workday, Slack, Concur",None
theodore.jr.,User,User,User,GG-Legal-Staff,"GG-Legal-Staff, GG-DLP-Policy",GG-Legal-Staff,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,None,Slack,"SharePoint, Slack, DocuSign, Relativity",None
jody.jacobs,Power User,User,User,GG-Sales-Staff,"GG-Sales-Staff, GG-CRM-Access",GG-Sales-Staff,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,None,Salesforce,"Salesforce, Slack, Zoom, HubSpot",None
stephen.gutierrez,Admin,Admin,User,GG-Domain-Admins,"GG-Sales-Staff, GG-CRM-Access, GG-Domain-Admins",GG-Sales-Staff,arn:aws:iam::aws:policy/AdministratorAccess,arn:aws:iam::aws:policy/AdministratorAccess,None,Salesforce,"Salesforce, Slack, Zoom, HubSpot",None
christian.leblanc,Power User,User,User,GG-Legal-Staff,"GG-Legal-Staff, GG-DLP-Policy",GG-Legal-Staff,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,None,Slack,"SharePoint, Slack, DocuSign, Relativity",None
laurie.hoffman,User,User,User,GG-Legal-Staff,"GG-Legal-Staff, GG-DLP-Policy",GG-Legal-Staff,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,None,Slack,"SharePoint, Slack, DocuSign, Relativity",None
lindsay.bell,User,User,User,GG-Legal-Staff,"GG-Legal-Staff, GG-DLP-Policy",GG-Legal-Staff,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,None,Slack,"SharePoint, Slack, DocuSign, Relativity",None
donald.perez,User,User,User,GG-Legal-Staff,"GG-Legal-Staff, GG-DLP-Policy",GG-Legal-Staff,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,None,Slack,"SharePoint, Slack, DocuSign, Relativity",None
donald.farmer,User,User,User,GG-Dev-Staff,"GG-Dev-Staff, GG-Git-Users, GG-VPN-Access",GG-Dev-Staff,arn:aws:iam::aws:policy/AmazonEC2ReadOnlyAccess,"arn:aws:iam::aws:policy/AmazonEC2ReadOnlyAccess, arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess, arn:aws:iam::aws:policy/CloudWatchLogsReadOnlyAccess",None,GitHub Enterprise,"GitHub Enterprise, AWS SSO, Jira, Slack, Confluence",None
joseph.bennett,User,User,User,GG-Dev-Staff,"GG-Dev-Staff, GG-Git-Users, GG-VPN-Access",GG-Dev-Staff,arn:aws:iam::aws:policy/AmazonEC2ReadOnlyAccess,"arn:aws:iam::aws:policy/AmazonEC2ReadOnlyAccess, arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess, arn:aws:iam::aws:policy/CloudWatchLogsReadOnlyAccess",None,GitHub Enterprise,"GitHub Enterprise, AWS SSO, Jira, Slack, Confluence",None
sophia.moore,User,User,User,GG-Finance-Staff,"GG-Finance-Staff, GG-SAP-Users, GG-ReadOnly-FS",GG-Finance-Staff,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,"arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess, arn:aws:iam::aws:policy/AWSBillingReadOnlyAccess",None,Workday,"SAP S4HANA, Workday, Slack, Concur",None
ashley.jordan,User,User,User,GG-Legal-Staff,"GG-Legal-Staff, GG-DLP-Policy",GG-Legal-Staff,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,None,Slack,"SharePoint, Slack, DocuSign, Relativity",None
dan.dougherty,User,User,User,GG-Dev-Staff,"GG-Dev-Staff, GG-Git-Users, GG-VPN-Access",GG-Dev-Staff,arn:aws:iam::aws:policy/AmazonEC2ReadOnlyAccess,"arn:aws:iam::aws:policy/AmazonEC2ReadOnlyAccess, arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess, arn:aws:iam::aws:policy/CloudWatchLogsReadOnlyAccess",None,GitHub Enterprise,"GitHub Enterprise, AWS SSO, Jira, Slack, Confluence",None
james.padilla,User,User,User,GG-Legal-Staff,"GG-Legal-Staff, GG-DLP-Policy",GG-Legal-Staff,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,None,Slack,"SharePoint, Slack, DocuSign, Relativity",None
laura.mckinney,User,User,User,GG-Dev-Staff,"GG-Dev-Staff, GG-Git-Users, GG-VPN-Access",GG-Dev-Staff,arn:aws:iam::aws:policy/AmazonEC2ReadOnlyAccess,"arn:aws:iam::aws:policy/AmazonEC2ReadOnlyAccess, arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess, arn:aws:iam::aws:policy/CloudWatchLogsReadOnlyAccess",None,GitHub Enterprise,"GitHub Enterprise, AWS SSO, Jira, Slack, Confluence",None
michael.cox,User,User,User,GG-Sales-Staff,"GG-Sales-Staff, GG-CRM-Access",GG-Sales-Staff,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,None,Salesforce,"Salesforce, Slack, Zoom, HubSpot",None
nichole.walker,Admin,Admin,Admin,GG-Domain-Admins,"GG-IT-Staff, GG-Infra-Ops, GG-ServiceDesk, GG-Domain-Admins","GG-Infra-Ops, GG-Domain-Admins",arn:aws:iam::aws:policy/AdministratorAccess,arn:aws:iam::aws:policy/AdministratorAccess,None,Okta Admin Console,"AWS SSO, GitHub Enterprise, ServiceNow, Slack, CyberArk, Okta Admin Console",None
charles.gonzalez,User,User,User,GG-Domain-Admins (Inherited),"GG-IT-Staff, GG-Infra-Ops, GG-ServiceDesk","GG-Infra-Ops, GG-Domain-Admins",arn:aws:iam::aws:policy/AmazonEC2ReadOnlyAccess,"arn:aws:iam::aws:policy/AmazonEC2ReadOnlyAccess, arn:aws:iam::aws:policy/CloudWatchLogsReadOnlyAccess",None,CyberArk,"AWS SSO, GitHub Enterprise, ServiceNow, Slack, CyberArk",None
justin.riley,Admin,Admin,Admin,GG-Domain-Admins,"GG-IT-Staff, GG-Infra-Ops, GG-ServiceDesk, GG-Domain-Admins","GG-Infra-Ops, GG-Domain-Admins",arn:aws:iam::aws:policy/AdministratorAccess,arn:aws:iam::aws:policy/AdministratorAccess,None,Okta Admin Console,"AWS SSO, GitHub Enterprise, ServiceNow, Slack, CyberArk, Okta Admin Console",None
leslie.bell,User,User,User,GG-HR-Staff,"GG-HR-Staff, GG-HRIS-Access",GG-HR-Staff,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,None,Workday,"Workday, Slack, ServiceNow, BambooHR",None
vanessa.davis,User,User,User,GG-Dev-Staff,"GG-Dev-Staff, GG-Git-Users, GG-VPN-Access",GG-Dev-Staff,arn:aws:iam::aws:policy/AmazonEC2ReadOnlyAccess,"arn:aws:iam::aws:policy/AmazonEC2ReadOnlyAccess, arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess, arn:aws:iam::aws:policy/CloudWatchLogsReadOnlyAccess",None,GitHub Enterprise,"GitHub Enterprise, AWS SSO, Jira, Slack, Confluence",None
john.hernandez,User,User,User,GG-Sales-Staff,"GG-Sales-Staff, GG-CRM-Access",GG-Sales-Staff,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,None,Salesforce,"Salesforce, Slack, Zoom, HubSpot",None
michael.ritter,User,User,User,GG-Finance-Staff,"GG-Finance-Staff, GG-SAP-Users, GG-ReadOnly-FS",GG-Finance-Staff,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,"arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess, arn:aws:iam::aws:policy/AWSBillingReadOnlyAccess",None,Workday,"SAP S4HANA, Workday, Slack, Concur",None
mark.cook,User,User,Admin,GG-Domain-Admins (Inherited),"GG-IT-Staff, GG-Infra-Ops, GG-ServiceDesk","GG-Infra-Ops, GG-Domain-Admins",arn:aws:iam::aws:policy/AmazonEC2ReadOnlyAccess,"arn:aws:iam::aws:policy/AmazonEC2ReadOnlyAccess, arn:aws:iam::aws:policy/CloudWatchLogsReadOnlyAccess",None,Okta Admin Console,"AWS SSO, GitHub Enterprise, ServiceNow, Slack, CyberArk, Okta Admin Console",None
felicia.aguilar,User,User,User,GG-Sales-Staff,"GG-Sales-Staff, GG-CRM-Access",GG-Sales-Staff,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,None,Salesforce,"Salesforce, Slack, Zoom, HubSpot",None
james.conner,User,User,User,GG-Domain-Admins (Inherited),"GG-IT-Staff, GG-Infra-Ops, GG-ServiceDesk","GG-Infra-Ops, GG-Domain-Admins",arn:aws:iam::aws:policy/AmazonEC2ReadOnlyAccess,"arn:aws:iam::aws:policy/AmazonEC2ReadOnlyAccess, arn:aws:iam::aws:policy/CloudWatchLogsReadOnlyAccess",None,CyberArk,"AWS SSO, GitHub Enterprise, ServiceNow, Slack, CyberArk",None
alicia.parker,Admin,Admin,Admin,GG-Domain-Admins,"GG-IT-Staff, GG-Infra-Ops, GG-ServiceDesk, GG-Domain-Admins","GG-Infra-Ops, GG-Domain-Admins",arn:aws:iam::aws:policy/AdministratorAccess,arn:aws:iam::aws:policy/AdministratorAccess,None,Okta Admin Console,"AWS SSO, GitHub Enterprise, ServiceNow, Slack, CyberArk, Okta Admin Console",None
ryan.garcia,Power User,User,User,GG-Sales-Staff,"GG-Sales-Staff, GG-CRM-Access",GG-Sales-Staff,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,None,Salesforce,"Salesforce, Slack, Zoom, HubSpot",None
carol.kim,User,User,User,GG-Domain-Admins (Inherited),"GG-IT-Staff, GG-Infra-Ops, GG-ServiceDesk","GG-Infra-Ops, GG-Domain-Admins",arn:aws:iam::aws:policy/AmazonEC2ReadOnlyAccess,"arn:aws:iam::aws:policy/AmazonEC2ReadOnlyAccess, arn:aws:iam::aws:policy/CloudWatchLogsReadOnlyAccess",None,CyberArk,"AWS SSO, GitHub Enterprise, ServiceNow, Slack, CyberArk",None
rachel.young,Admin,Admin,Admin,GG-Domain-Admins,"GG-IT-Staff, GG-Infra-Ops, GG-ServiceDesk, GG-Domain-Admins","GG-Infra-Ops, GG-Domain-Admins",arn:aws:iam::aws:policy/AdministratorAccess,arn:aws:iam::aws:policy/AdministratorAccess,None,Okta Admin Console,"AWS SSO, GitHub Enterprise, ServiceNow, Slack, CyberArk, Okta Admin Console",None
mrs..reyes,User,User,User,GG-Sales-Staff,"GG-Sales-Staff, GG-CRM-Access",GG-Sales-Staff,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,None,Salesforce,"Salesforce, Slack, Zoom, HubSpot",None
ashley.singleton,User,User,User,GG-Legal-Staff,"GG-Legal-Staff, GG-DLP-Policy",GG-Legal-Staff,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,None,Slack,"SharePoint, Slack, DocuSign, Relativity",None
thomas.velasquez,Admin,Admin,User,GG-Domain-Admins,"GG-Finance-Staff, GG-SAP-Users, GG-ReadOnly-FS, GG-Domain-Admins",GG-Finance-Staff,arn:aws:iam::aws:policy/AdministratorAccess,arn:aws:iam::aws:policy/AdministratorAccess,None,Workday,"SAP S4HANA, Workday, Slack, Concur",None
alfred.galvan,Admin,Admin,User,GG-Domain-Admins,"GG-IT-Staff, GG-Infra-Ops, GG-ServiceDesk, GG-Domain-Admins","GG-Infra-Ops, GG-Domain-Admins",arn:aws:iam::aws:policy/AdministratorAccess,arn:aws:iam::aws:policy/AdministratorAccess,None,CyberArk,"AWS SSO, GitHub Enterprise, ServiceNow, Slack, CyberArk",None
julie.gilbert,User,User,User,GG-HR-Staff,"GG-HR-Staff, GG-HRIS-Access",GG-HR-Staff,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,None,Workday,"Workday, Slack, ServiceNow, BambooHR",None
ashley.roberts,User,User,User,GG-Legal-Staff,"GG-Legal-Staff, GG-DLP-Policy",GG-Legal-Staff,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,None,Slack,"SharePoint, Slack, DocuSign, Relativity",None
alexis.robertson,User,User,User,GG-Legal-Staff,"GG-Legal-Staff, GG-DLP-Policy",GG-Legal-Staff,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,None,Slack,"SharePoint, Slack, DocuSign, Relativity",None
matthew.miller,User,User,User,GG-Finance-Staff,"GG-Finance-Staff, GG-SAP-Users, GG-ReadOnly-FS",GG-Finance-Staff,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,"arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess, arn:aws:iam::aws:policy/AWSBillingReadOnlyAccess",None,Workday,"SAP S4HANA, Workday, Slack, Concur",None
james.brooks,Admin,Admin,User,GG-Domain-Admins,"GG-Legal-Staff, GG-DLP-Policy, GG-Domain-Admins",GG-Legal-Staff,arn:aws:iam::aws:policy/AdministratorAccess,arn:aws:iam::aws:policy/AdministratorAccess,None,Slack,"SharePoint, Slack, DocuSign, Relativity",None
nancy.cook,User,User,User,GG-HR-Staff,"GG-HR-Staff, GG-HRIS-Access",GG-HR-Staff,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,None,Workday,"Workday, Slack, ServiceNow, BambooHR",None
robin.brown,User,User,User,GG-Legal-Staff,"GG-Legal-Staff, GG-DLP-Policy",GG-Legal-Staff,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,None,Slack,"SharePoint, Slack, DocuSign, Relativity",None
kaylee.hays,User,User,User,GG-Dev-Staff,"GG-Dev-Staff, GG-Git-Users, GG-VPN-Access",GG-Dev-Staff,arn:aws:iam::aws:policy/AmazonEC2ReadOnlyAccess,"arn:aws:iam::aws:policy/AmazonEC2ReadOnlyAccess, arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess, arn:aws:iam::aws:policy/CloudWatchLogsReadOnlyAccess",None,GitHub Enterprise,"GitHub Enterprise, AWS SSO, Jira, Slack, Confluence",None
robert.kim,Admin,Admin,Admin,GG-Domain-Admins,"GG-IT-Staff, GG-Infra-Ops, GG-ServiceDesk, GG-Domain-Admins","GG-Infra-Ops, GG-Domain-Admins",arn:aws:iam::aws:policy/AdministratorAccess,arn:aws:iam::aws:policy/AdministratorAccess,None,Okta Admin Console,"AWS SSO, GitHub Enterprise, ServiceNow, Slack, CyberArk, Okta Admin Console",None
robert.adams,User,User,User,GG-Legal-Staff,"GG-Legal-Staff, GG-DLP-Policy",GG-Legal-Staff,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,None,Slack,"SharePoint, Slack, DocuSign, Relativity",None
